,x_start,y_start,x_end,y_end
2,7.265836282780359,181.36154816781954,7.2665046190222915,181.36189210975965
3,-110.96636703866274,-139.4463269095386,-110.96745233436285,-139.44658997632592
4,-219.52932074166742,-304.93461270500876,-219.53477472399302,-304.93499769121536
5,-256.01568164338534,-528.9865193190427,-256.02345829305705,-528.9892313395153
6,-553.2480380838117,-346.7861259434469,-553.2497758337647,-346.79306585984654
7,-559.5887132181699,-130.01729024818982,-559.5896015347209,-130.02408109826092
8,-510.74192488973887,258.0233740835086,-510.74301733059264,258.0236525640626
9,-186.72730711896617,257.5291912413564,-186.72670732687016,257.5298430758275
10,154.50559459013473,399.01663416417813,154.50550898001842,399.0185883033185
11,218.5720789295224,-257.23820679926206,218.5711787568167,-257.2391563261867
12,387.0034114965055,-345.1785096804309,387.00187851489824,-345.17948440457064
13,327.8549506369363,-566.7019337099454,327.8496841254982,-566.7053176873534
14,234.13242620224167,-675.825660162585,234.1250621030911,-675.8295249045328
15,81.70452865766003,-544.4341942225151,81.69579860190271,-544.438097794029
16,-79.892318914479,-460.3943800887686,-79.89997769117147,-460.39673050723525
17,61.59057412249197,-694.0347599004226,61.5815495147207,-694.038919671215
18,-107.06238478527861,-677.576048415067,-107.07020816372793,-677.5796221967046
20,232.30773659288442,-860.6129187392349,232.29346097781584,-860.6185325841367
21,492.5354443388486,-710.8133612157991,492.52712984773075,-710.8177011242586
22,576.1721579225411,-307.214952382326,576.1718294744754,-307.2157917215658
23,683.2681676012784,-23.576380662583265,683.2692824517729,-23.572724580667664
24,234.27655596503254,59.99806590988014,234.27700135545564,59.9984222603878
