Epoch,Refl_Num,Ref_Time,SlopeDistance,HzAngle,x_fixed,y_fixed,utmEast,utmNorth
2018-03-08 13:01:23,5,2018-03-08 13:00:00,587.6819539220138,3.9300185908948886,-256.0179151288564,-528.9847881543191,438970.1420848711,8023148.575211845
2018-03-08 13:02:45,5,2018-03-08 13:02:00,587.6820948688164,3.9300185908948886,-256.01797653095707,-528.9849150234767,438970.14202346903,8023148.575084976
2018-03-08 13:04:05,5,2018-03-08 13:03:00,587.6825063358175,3.9300185908948886,-256.01815578254565,-528.9852853935093,438970.14184421743,8023148.574714606
2018-03-08 13:05:26,5,2018-03-08 13:04:00,587.6818188114399,3.9300185908948886,-256.01785626925175,-528.9846665384724,438970.1421437307,8023148.575333461
2018-03-08 13:06:43,5,2018-03-08 13:06:00,587.6819303743574,3.9300185908948886,-256.01790487054933,-528.9847669585821,438970.1420951294,8023148.575233041
2018-03-08 13:08:05,5,2018-03-08 13:07:00,587.6820382264816,3.9300185908948886,-256.017951855276,-528.9848640385293,438970.1420481447,8023148.575135961
2018-03-08 13:09:24,5,2018-03-08 13:08:00,587.6819556997131,3.9300185908948886,-256.01791590329367,-528.9847897544631,438970.1420840967,8023148.575210245
2018-03-08 13:10:43,5,2018-03-08 13:10:00,587.6818689889042,3.9300185908948886,-256.017878128575,-528.9847117042549,438970.1421218714,8023148.575288296
2018-03-08 13:12:02,5,2018-03-08 13:11:00,587.6821892310553,3.9300185908948886,-256.01801763894673,-528.9849999608966,438970.14198236103,8023148.575000038
2018-03-08 13:13:23,5,2018-03-08 13:12:00,587.68179537546,3.9300185908948886,-256.0178460595955,-528.9846454432578,438970.1421539404,8023148.575354557
2018-03-08 13:14:45,5,2018-03-08 13:14:00,587.6821116342969,3.9300185908948886,-256.01798383467525,-528.9849301144354,438970.1420161653,8023148.575069885
2018-03-08 13:16:07,5,2018-03-08 13:15:00,587.681815264541,3.9300185908948886,-256.0178547240798,-528.9846633458347,438970.1421452759,8023148.575336654
2018-03-08 13:17:27,5,2018-03-08 13:16:00,587.6822410198133,3.9300185908948886,-256.01804020021444,-528.9850465770384,438970.14195979974,8023148.574953423
2018-03-08 13:18:48,5,2018-03-08 13:18:00,587.6817707913,3.9300185908948886,-256.01783534974584,-528.9846233145425,438970.14216465026,8023148.575376685
2018-03-08 13:20:08,5,2018-03-08 13:19:00,587.6823839182571,3.930019877866963,-256.01742166316836,-528.9855046906192,438970.1425783368,8023148.574495309
2018-03-08 13:21:32,5,2018-03-08 13:20:00,587.6819942297274,3.9300206327549145,-256.0168525750179,-528.9853471878129,438970.14314742497,8023148.5746528115
2018-03-08 13:22:53,5,2018-03-08 13:22:00,587.6819052548251,3.9300213449710624,-256.0164370622183,-528.9854494387425,438970.14356293774,8023148.574550561
2018-03-08 13:24:11,5,2018-03-08 13:23:00,587.6821114868462,3.9300213850590806,-256.01650569869093,-528.9856453359298,438970.1434943013,8023148.5743546635
2018-03-08 13:25:32,5,2018-03-08 13:24:00,587.6821161041639,3.9300223351669468,-256.01600511662656,-528.9858927351385,438970.14399488334,8023148.574107264
2018-03-08 13:26:53,5,2018-03-08 13:26:00,587.6824252084975,3.9300224941974626,-256.016055648928,-528.9862116812747,438970.14394435106,8023148.573788318
2018-03-08 13:29:47,5,2018-03-08 13:29:00,587.6827487285291,3.93002296499559,-256.0159475402565,-528.9866234208423,438970.14405245974,8023148.573376579
2018-03-08 13:31:16,5,2018-03-08 13:30:00,587.6823614622749,3.930022811526597,-256.01586001600003,-528.9862355431793,438970.144139984,8023148.573764456
2018-03-08 13:32:38,5,2018-03-08 13:32:00,587.6819626389494,3.9300222558836535,-256.01598020125056,-528.9857342998583,438970.1440197987,8023148.5742657
2018-03-08 13:33:59,5,2018-03-08 13:33:00,587.6817576438759,3.9300212804535413,-256.01640688613355,-528.9853000533276,438970.14359311387,8023148.574699947
2018-03-08 13:35:21,5,2018-03-08 13:34:00,587.6817625751813,3.930020898688417,-256.0166109825186,-528.9852067539294,438970.14338901744,8023148.574793246
2018-03-08 13:36:40,5,2018-03-08 13:36:00,587.6815563846477,3.9300202834437554,-256.01684661321275,-528.9848636444227,438970.1431533868,8023148.575136355
2018-03-08 13:38:02,5,2018-03-08 13:37:00,587.6823715695618,3.9300197370898164,-256.0174907526597,-528.9854575338876,438970.1425092473,8023148.574542466
2018-03-08 13:39:23,5,2018-03-08 13:38:00,587.6823795770746,3.930019940696522,-256.01738653605315,-528.9855168684885,438970.1426134639,8023148.574483131
2018-03-08 13:40:44,5,2018-03-08 13:40:00,587.6815784794045,3.9300197559721153,-256.017135263033,-528.984748490686,438970.14286473696,8023148.5752515085
2018-03-08 13:42:04,5,2018-03-08 13:41:00,587.6820872291813,3.9300191091596126,-256.01769904857247,-528.985040831895,438970.1423009514,8023148.574959167
2018-03-08 13:43:24,5,2018-03-08 13:42:00,587.6821956134941,3.9300185908948886,-256.01802041939396,-528.9850057058629,438970.14197958057,8023148.574994294
2018-03-08 13:44:44,5,2018-03-08 13:44:00,587.6824147901476,3.930018378823484,-256.0182280841959,-528.9851486972085,438970.1417719158,8023148.574851302
2018-03-08 13:46:01,5,2018-03-08 13:45:00,587.6824172352592,3.9300187563544107,-256.01802944111284,-528.9852475528659,438970.14197055885,8023148.574752446
2018-03-08 13:47:21,5,2018-03-08 13:46:00,587.681826041806,3.930017779662185,-256.0182885486725,-528.9844653564413,438970.1417114513,8023148.575534644
2018-03-08 13:48:41,5,2018-03-08 13:48:00,587.681799846239,3.9300178151014133,-256.0182583900093,-528.9844508503642,438970.14174160996,8023148.575549149
2018-03-08 13:49:58,5,2018-03-08 13:49:00,587.6812910455901,3.9300176763750834,-256.01811011961587,-528.9839573520088,438970.14188988035,8023148.5760426475
2018-03-08 13:51:20,5,2018-03-08 13:50:00,587.6814034309997,3.930018265317399,-256.017847538176,-528.9842092922516,438970.1421524618,8023148.575790707
2018-03-08 13:52:42,5,2018-03-08 13:52:00,587.682006208126,3.9300191722693167,-256.01763036849195,-528.9849840603324,438970.1423696315,8023148.575015939
2018-03-08 13:54:00,5,2018-03-08 13:53:00,587.6824217293419,3.9300205146232545,-256.017101300233,-528.9857017457941,438970.14289869973,8023148.574298254
2018-03-08 13:55:19,5,2018-03-08 13:54:00,587.6816305529571,3.930020408536311,-256.0168127517221,-528.9849624307217,438970.14318724826,8023148.575037569
2018-03-08 13:56:41,5,2018-03-08 13:56:00,587.6819441658301,3.930021060878649,-256.0166042940744,-528.9854117310431,438970.1433957059,8023148.574588269
2018-03-08 13:58:00,5,2018-03-08 13:57:00,587.6817691338537,3.9300216247948043,-256.0162297401174,-528.985398552693,438970.14377025986,8023148.574601447
2018-03-08 13:59:21,5,2018-03-08 13:58:00,587.6820867949699,3.9300219952995112,-256.01617213351545,-528.9857793417444,438970.1438278665,8023148.574220658
2018-03-08 14:00:55,5,2018-03-08 14:00:00,587.681713510035,3.9300219037046116,-256.01605796908336,-528.9854198898697,438970.1439420309,8023148.57458011
2018-03-08 14:02:16,5,2018-03-08 14:01:00,587.6817263260551,3.930022608783707,-256.01569057558646,-528.9856119372982,438970.1443094244,8023148.574388063
2018-03-08 14:03:34,5,2018-03-08 14:02:00,587.681346695356,3.930023721664847,-256.0149364966566,-528.9855551376427,438970.1450635033,8023148.574444862
2018-03-08 14:04:56,5,2018-03-08 14:04:00,587.6809733196494,3.930023814191969,-256.0147248954124,-528.9852427418526,438970.14527510456,8023148.5747572575
2018-03-08 14:06:16,5,2018-03-08 14:05:00,587.6818966029115,3.930023739814427,-256.01516645510867,-528.9860547687039,438970.14483354485,8023148.573945231
2018-03-08 14:07:36,5,2018-03-08 14:06:00,587.6815138106185,3.9300238064769575,-256.014964433625,-528.9857272751223,438970.14503556635,8023148.574272725
2018-03-08 14:08:58,5,2018-03-08 14:08:00,587.6816132727539,3.9300241806937457,-256.0148098074765,-528.9859126083684,438970.1451901925,8023148.574087392
2018-03-08 14:10:18,5,2018-03-08 14:09:00,587.6814138775353,3.930023468962191,-256.01509943966965,-528.9855509141956,438970.1449005603,8023148.574449086
2018-03-08 14:11:38,5,2018-03-08 14:11:00,587.6818208087774,3.9300224810587387,-256.01579930040083,-528.9856642837278,438970.1442006996,8023148.574335716
2018-03-08 14:12:58,5,2018-03-08 14:12:00,587.6813239066951,3.9300215429341985,-256.01607908549306,-528.9849768362202,438970.1439209145,8023148.575023163
2018-03-08 14:14:19,5,2018-03-08 14:13:00,587.6816183389757,3.9300208323274033,-256.01658325170644,-528.9850599342476,438970.14341674827,8023148.574940065
2018-03-08 14:15:37,5,2018-03-08 14:15:00,587.6817080878268,3.930020916799714,-256.0165776651394,-528.9851623454625,438970.14342233486,8023148.574837654
2018-03-08 14:16:58,5,2018-03-08 14:16:00,587.6816055849636,3.9300202017036057,-256.0169112860806,-528.984887003831,438970.14308871387,8023148.575112996
2018-03-08 14:18:18,5,2018-03-08 14:17:00,587.6821247346156,3.9300194817701417,-256.0175182820059,-528.9851699861871,438970.142481718,8023148.574830013
2018-03-08 14:19:39,5,2018-03-08 14:19:00,587.681715151816,3.930018606808521,-256.01780269288076,-528.9845773064554,438970.1421973071,8023148.575422693
2018-03-08 14:20:59,5,2018-03-08 14:20:00,587.6817177259982,3.930018174623452,-256.0180324335113,-528.984468976409,438970.14196756645,8023148.575531024
2018-03-08 14:22:21,5,2018-03-08 14:21:00,587.6817817674187,3.9300170214943924,-256.01867031981544,-528.9842313991991,438970.14132968016,8023148.5757686
2018-03-08 14:23:44,5,2018-03-08 14:23:00,587.6814466466452,3.930015484541396,-256.01933735037704,-528.9835362611652,438970.1406626496,8023148.576463738
2018-03-08 14:25:05,5,2018-03-08 14:24:00,587.681227041689,3.930014560222764,-256.01973063005073,-528.9831019468784,438970.14026936993,8023148.576898052
