,p,q,theta,Tice,Sensor_Name
2018-03-11 00:53:00,-10.342039599812555,-15.45876966224256,0.10849679791160693,-8.929688,D
2018-03-11 00:54:00,-10.703720758580783,-15.5546752237208,0.05228112616094083,-8.930389,D
2018-03-11 00:55:00,-10.211681983967038,-15.441834780626309,0.06633206796934021,-8.931061,D
2018-03-11 00:56:00,-10.910606332867136,-15.494004752727918,0.028098114770097604,-8.931915,D
2018-03-11 00:57:00,-10.872876119012925,-15.544202659375133,0.05406210124203903,-8.932434,D
2018-03-11 00:58:00,-10.763092183376907,-15.472329185159134,0.11721472804608735,-8.933411,D
2018-03-11 00:59:00,-9.728725908634337,-15.20835651192838,0.12611128691126194,-8.934052,D
2018-03-11 01:00:00,-9.642577902629709,-15.340101163060513,0.11891758338471092,-8.934845,D
2018-03-11 01:01:00,-9.38598461302772,-15.314606958676961,0.11598832942338988,-8.935547,D
2018-03-11 01:02:00,-10.339494013292585,-15.663777895106506,0.12273507382548288,-8.936279,D
2018-03-11 01:03:00,-10.209610234125858,-15.37740319492191,0.08230559071766375,-8.937042,D
2018-03-11 01:04:00,-10.846173726546738,-15.724865502635941,0.06055285595437354,-8.937744,D
2018-03-11 01:05:00,-10.9066587798268,-15.598485049643553,0.09669360776156477,-8.938507,D
2018-03-11 01:06:00,-12.10696476046021,-15.96945552051222,0.09703213784109055,-8.939148,D
2018-03-11 01:07:00,-11.2933216091768,-15.783396286918338,0.032241030829090356,-8.93988,D
2018-03-11 01:08:00,-10.981194651810593,-15.717487609873933,0.08869831656398053,-8.940765,D
2018-03-11 01:09:00,-10.483299317809854,-15.533782878480272,0.06812289908855806,-8.941467,D
2018-03-11 01:10:00,-11.005325296858416,-15.641181643297584,0.05569484790135726,-8.942169,D
2018-03-11 01:11:00,-10.976918466331124,-16.12374253512028,0.06108163009483247,-8.942932,D
2018-03-11 01:12:00,-11.040359469902416,-15.736535616776486,0.037035098977803216,-8.943726,D
2018-03-11 01:13:00,-10.631234494090931,-15.794070968371758,0.05071637030889442,-8.944397,D
2018-03-11 01:14:00,-10.488516178306112,-15.573202928152474,0.06547521345014928,-8.94519,D
2018-03-11 01:15:00,-13.802244165585044,-16.424466531184503,0.08505650911165685,-8.945892,D
2018-03-11 01:16:00,-12.928363511499013,-16.226428605527854,0.0781402391129491,-8.946686,D
2018-03-11 01:17:00,-14.748326630996997,-16.124095673875335,0.032857827247957605,-8.947296,D
2018-03-11 01:18:00,-14.38958432377708,-16.518139341870608,0.028447469003976433,-8.948151,D
2018-03-11 01:19:00,-14.78765493090417,-16.163391319011964,0.17653307289738795,-8.948853,D
2018-03-11 01:20:00,-13.72911622189817,-16.44389850543102,-0.0045905083206190245,-8.949707,D
2018-03-11 01:21:00,-12.894642591372401,-16.2028562123261,0.13323304075567877,-8.950378,D
2018-03-11 01:22:00,-12.47747787441115,-16.11783563738414,0.07849497242344206,-8.951233,D
2018-03-11 01:23:00,-12.997567259120265,-16.40275639105624,-0.006240682169373013,-8.951752,D
2018-03-11 01:24:00,-12.819267119898017,-16.19374554130739,0.10302773428991818,-8.952484,D
2018-03-11 01:25:00,-12.809077345262168,-16.06391793863557,0.1394985999177858,-8.953247,D
2018-03-11 01:26:00,-12.36861389028803,-16.2831963231004,0.15333598391650294,-8.953949,D
2018-03-11 01:27:00,-11.549008468067994,-16.055128711067976,0.10849874235373069,-8.954773,D
2018-03-11 01:28:00,-12.555888785023564,-16.11422573172787,0.17706528508510866,-8.955475,D
2018-03-11 01:29:00,-12.113586995079205,-16.05440434672996,0.11141322412186083,-8.956207,D
2018-03-11 01:30:00,-12.991360655770292,-16.53472554651478,0.13371569329624733,-8.95694,D
2018-03-11 01:31:00,-12.230060402235086,-16.065717062751734,0.01587640582662897,-8.957886,D
2018-03-11 01:32:00,-13.510175590239932,-16.37664416755698,0.1401709651360592,-8.958405,D
2018-03-11 01:33:00,-13.031862787252816,-16.22422112108603,0.20715219428107878,-8.959229,D
2018-03-11 01:34:00,-13.662136892552471,-16.322900347261353,0.16682641669501663,-8.959961,D
2018-03-11 01:35:00,-12.594215463860273,-16.22693637255221,0.11798749734624026,-8.960754,D
2018-03-11 01:36:00,-12.906558538529222,-16.403225233894112,0.1047236129957787,-8.961578,D
2018-03-11 01:37:00,-12.556674154296209,-16.396390059489608,0.08035586752694357,-8.962158,D
2018-03-11 01:38:00,-12.118871546571093,-16.334476243725117,0.08537060728724244,-8.963104,D
2018-03-11 01:39:00,-11.489481687667267,-16.083698104481048,0.110523643150227,-8.963837,D
2018-03-11 01:40:00,-10.98605559715203,-15.954024653487162,0.10210690146840973,-8.964355,D
2018-03-11 01:41:00,-11.154404537073743,-15.949092010684387,0.11494868810105419,-8.965302,D
2018-03-11 01:42:00,-10.592672827063636,-16.039023321653,0.07531228043650584,-8.966003,D
2018-03-11 01:43:00,-11.493699245224146,-16.080780758750638,0.14818759173437424,-8.966675,D
2018-03-11 01:44:00,-10.569025624756385,-15.83806100474765,0.07032093502017434,-8.967682,D
2018-03-11 01:45:00,-11.71675227981565,-16.20952245117389,0.17071800165425555,-8.968231,D
2018-03-11 01:46:00,-11.228966967661005,-16.042047904682054,0.10455290291602504,-8.968903,D
2018-03-11 01:47:00,-11.20949737695286,-16.077622296379822,0.10242891964293821,-8.969696,D
2018-03-11 01:48:00,-12.096658634739486,-16.239492298708573,0.11975312523696413,-8.970459,D
2018-03-11 01:49:00,-11.713742520222928,-15.934568878429312,0.15209344944787317,-8.971191,D
2018-03-11 01:50:00,-11.342847101423668,-16.419410229459732,0.026500352217031287,-8.972076,D
2018-03-11 01:51:00,-12.00911949245663,-16.08988522423971,0.1963073928204666,-8.972778,D
2018-03-11 01:52:00,-11.802265436780841,-16.270483028110753,0.09016098955353069,-8.973389,D
2018-03-11 01:53:00,-11.860621831344549,-16.173067953399602,0.09645251443601999,-8.974213,D
2018-03-11 01:54:00,-11.749591021209365,-16.25068814630715,0.09100979826573363,-8.974854,D
