,p,q,theta,Tice,Sensor_Name
2018-03-08 13:00:00,,,,,B
2018-03-08 13:02:00,,,,,B
2018-03-08 13:03:00,,,,,B
2018-03-08 13:04:00,,,,,B
2018-03-08 13:06:00,,,,,B
2018-03-08 13:07:00,,,,,B
2018-03-08 13:08:00,,,,,B
2018-03-08 13:10:00,,,,,B
2018-03-08 13:11:00,,,,,B
2018-03-08 13:12:00,,,,,B
2018-03-08 13:14:00,,,,,B
2018-03-08 13:15:00,,,,,B
2018-03-08 13:16:00,,,,,B
2018-03-08 13:18:00,,,,,B
2018-03-08 13:19:00,,,,,B
2018-03-08 13:20:00,,,,,B
2018-03-08 13:22:00,,,,,B
2018-03-08 13:23:00,,,,,B
2018-03-08 13:24:00,,,,,B
2018-03-08 13:26:00,,,,,B
2018-03-08 13:27:00,,,,,B
2018-03-08 13:29:00,,,,,B
2018-03-08 13:30:00,,,,,B
2018-03-08 13:32:00,,,,,B
2018-03-08 13:33:00,,,,,B
2018-03-08 13:34:00,,,,,B
2018-03-08 13:36:00,,,,,B
2018-03-08 13:37:00,,,,,B
2018-03-08 13:38:00,,,,,B
2018-03-08 13:40:00,,,,,B
2018-03-08 13:41:00,,,,,B
2018-03-08 13:42:00,,,,,B
2018-03-08 13:44:00,,,,,B
2018-03-08 13:45:00,,,,,B
2018-03-08 13:46:00,,,,,B
2018-03-08 13:48:00,,,,,B
2018-03-08 13:49:00,,,,,B
2018-03-08 13:50:00,,,,,B
2018-03-08 13:52:00,,,,,B
2018-03-08 13:53:00,,,,,B
2018-03-08 13:54:00,,,,,B
2018-03-08 13:56:00,,,,,B
2018-03-08 13:57:00,,,,,B
2018-03-08 13:58:00,,,,,B
2018-03-08 14:00:00,,,,,B
2018-03-08 14:01:00,,,,,B
2018-03-08 14:02:00,,,,,B
2018-03-08 14:04:00,,,,,B
2018-03-08 14:05:00,,,,,B
2018-03-08 14:06:00,,,,,B
2018-03-08 14:08:00,,,,,B
2018-03-08 14:09:00,,,,,B
2018-03-08 14:11:00,,,,,B
2018-03-08 14:12:00,,,,,B
2018-03-08 14:13:00,,,,,B
2018-03-08 14:15:00,,,,,B
2018-03-08 14:16:00,,,,,B
2018-03-08 14:17:00,,,,,B
2018-03-08 14:19:00,,,,,B
2018-03-08 14:20:00,,,,,B
2018-03-08 14:21:00,,,,,B
2018-03-08 14:23:00,,,,,B
2018-03-08 14:24:00,,,,,B
2018-03-08 14:25:00,,,,,B
2018-03-08 14:27:00,,,,,B
2018-03-08 14:28:00,,,,,B
2018-03-08 14:29:00,,,,,B
2018-03-08 14:31:00,,,,,B
2018-03-08 14:32:00,,,,,B
2018-03-08 14:34:00,,,,,B
2018-03-08 14:35:00,,,,,B
2018-03-08 14:36:00,,,,,B
2018-03-08 14:38:00,,,,,B
2018-03-08 14:39:00,,,,,B
2018-03-08 14:40:00,,,,,B
2018-03-08 14:42:00,,,,,B
2018-03-08 14:43:00,,,,,B
2018-03-08 14:45:00,,,,,B
2018-03-08 15:38:00,,,,,B
2018-03-08 15:46:00,,,,,B
2018-03-08 15:49:00,,,,,B
2018-03-08 15:51:00,,,,,B
2018-03-08 15:54:00,,,,,B
2018-03-08 15:56:00,,,,,B
2018-03-08 15:59:00,,,,,B
2018-03-08 16:01:00,,,,,B
2018-03-08 16:03:00,,,,,B
2018-03-08 16:06:00,,,,,B
2018-03-08 16:08:00,,,,,B
2018-03-08 16:10:00,,,,,B
2018-03-08 16:13:00,,,,,B
2018-03-08 16:15:00,,,,,B
2018-03-08 16:17:00,,,,,B
2018-03-08 16:20:00,,,,,B
2018-03-08 16:22:00,,,,,B
2018-03-08 16:25:00,,,,,B
2018-03-08 16:28:00,,,,,B
2018-03-08 16:31:00,,,,,B
2018-03-08 16:34:00,,,,,B
2018-03-08 16:36:00,,,,,B
2018-03-08 16:39:00,,,,,B
2018-03-08 16:43:00,,,,,B
2018-03-08 16:46:00,,,,,B
2018-03-08 16:49:00,,,,,B
2018-03-08 16:51:00,,,,,B
2018-03-08 16:54:00,,,,,B
2018-03-08 16:57:00,,,,,B
2018-03-08 17:00:00,,,,,B
2018-03-08 17:03:00,,,,,B
2018-03-08 17:06:00,,,,,B
2018-03-08 17:09:00,,,,,B
2018-03-08 17:12:00,,,,,B
2018-03-08 17:15:00,,,,,B
2018-03-08 17:17:00,,,,,B
2018-03-08 17:20:00,,,,,B
2018-03-08 17:23:00,,,,,B
2018-03-08 17:25:00,,,,,B
2018-03-08 17:28:00,,,,,B
2018-03-08 17:31:00,,,,,B
2018-03-08 17:33:00,,,,,B
2018-03-08 17:36:00,,,,,B
2018-03-08 17:39:00,,,,,B
2018-03-08 17:41:00,,,,,B
2018-03-08 17:44:00,,,,,B
2018-03-08 17:46:00,,,,,B
2018-03-08 17:49:00,,,,,B
2018-03-08 17:51:00,,,,,B
2018-03-08 17:54:00,,,,,B
2018-03-08 17:57:00,,,,,B
2018-03-08 18:00:00,,,,,B
2018-03-08 18:03:00,,,,,B
2018-03-08 18:06:00,,,,,B
2018-03-08 18:09:00,,,,,B
2018-03-08 18:11:00,,,,,B
2018-03-08 18:14:00,,,,,B
2018-03-08 18:16:00,,,,,B
2018-03-08 18:19:00,,,,,B
2018-03-08 18:21:00,,,,,B
2018-03-08 18:23:00,,,,,B
2018-03-08 18:26:00,,,,,B
2018-03-08 18:28:00,,,,,B
2018-03-08 18:30:00,,,,,B
2018-03-08 18:33:00,,,,,B
2018-03-08 18:35:00,,,,,B
2018-03-08 18:38:00,,,,,B
2018-03-08 18:40:00,,,,,B
2018-03-08 18:42:00,,,,,B
2018-03-08 18:44:00,,,,,B
2018-03-08 18:47:00,,,,,B
2018-03-08 18:49:00,,,,,B
2018-03-08 18:51:00,,,,,B
2018-03-08 18:54:00,,,,,B
2018-03-08 18:57:00,,,,,B
2018-03-08 18:59:00,,,,,B
2018-03-08 19:01:00,,,,,B
2018-03-08 19:04:00,,,,,B
2018-03-08 19:06:00,,,,,B
2018-03-08 19:09:00,,,,,B
2018-03-08 19:11:00,,,,,B
2018-03-08 19:13:00,,,,,B
2018-03-08 19:16:00,,,,,B
2018-03-08 19:18:00,,,,,B
2018-03-08 19:20:00,,,,,B
2018-03-08 19:23:00,,,,,B
2018-03-08 19:25:00,,,,,B
2018-03-08 19:27:00,,,,,B
2018-03-08 19:29:00,,,,,B
2018-03-08 19:32:00,,,,,B
2018-03-08 19:34:00,,,,,B
2018-03-08 19:36:00,,,,,B
2018-03-08 19:38:00,,,,,B
2018-03-08 19:40:00,,,,,B
2018-03-08 19:43:00,,,,,B
2018-03-08 19:45:00,,,,,B
2018-03-08 19:47:00,,,,,B
2018-03-08 19:49:00,,,,,B
2018-03-08 19:52:00,,,,,B
2018-03-08 19:54:00,,,,,B
2018-03-08 19:56:00,,,,,B
2018-03-08 19:58:00,,,,,B
2018-03-08 20:01:00,,,,,B
2018-03-08 20:04:00,,,,,B
2018-03-08 20:06:00,,,,,B
2018-03-08 20:08:00,,,,,B
2018-03-08 20:11:00,,,,,B
2018-03-08 20:13:00,,,,,B
2018-03-08 20:16:00,,,,,B
2018-03-08 20:18:00,,,,,B
2018-03-08 20:20:00,,,,,B
2018-03-08 20:23:00,,,,,B
2018-03-08 20:25:00,,,,,B
2018-03-08 20:28:00,,,,,B
2018-03-08 20:30:00,,,,,B
2018-03-08 20:32:00,,,,,B
2018-03-08 20:34:00,,,,,B
2018-03-08 20:37:00,,,,,B
2018-03-08 20:39:00,,,,,B
2018-03-08 20:41:00,,,,,B
2018-03-08 20:43:00,,,,,B
2018-03-08 20:46:00,,,,,B
2018-03-08 20:48:00,,,,,B
2018-03-08 20:50:00,,,,,B
2018-03-08 20:52:00,,,,,B
2018-03-08 20:55:00,,,,,B
2018-03-08 20:57:00,,,,,B
2018-03-08 20:59:00,,,,,B
2018-03-08 21:01:00,,,,,B
2018-03-08 21:04:00,,,,,B
2018-03-08 21:06:00,,,,,B
2018-03-08 21:08:00,,,,,B
2018-03-08 21:10:00,,,,,B
2018-03-08 21:13:00,,,,,B
2018-03-08 21:15:00,,,,,B
2018-03-08 21:17:00,,,,,B
2018-03-08 21:20:00,,,,,B
2018-03-08 21:22:00,,,,,B
2018-03-08 21:24:00,,,,,B
2018-03-08 21:27:00,,,,,B
2018-03-08 21:29:00,,,,,B
2018-03-08 21:31:00,,,,,B
2018-03-08 21:33:00,,,,,B
2018-03-08 21:36:00,,,,,B
2018-03-08 21:38:00,,,,,B
2018-03-08 21:40:00,,,,,B
2018-03-08 21:42:00,,,,,B
2018-03-08 21:44:00,,,,,B
2018-03-08 21:47:00,,,,,B
2018-03-08 21:49:00,,,,,B
2018-03-08 21:51:00,,,,,B
2018-03-08 21:53:00,,,,,B
2018-03-08 21:55:00,,,,,B
2018-03-08 21:58:00,,,,,B
2018-03-08 22:00:00,,,,,B
2018-03-08 22:02:00,,,,,B
2018-03-08 22:05:00,,,,,B
2018-03-08 22:07:00,,,,,B
2018-03-08 22:09:00,,,,,B
2018-03-08 22:12:00,,,,,B
2018-03-08 22:14:00,,,,,B
2018-03-08 22:16:00,,,,,B
2018-03-08 22:18:00,,,,,B
2018-03-08 22:21:00,,,,,B
2018-03-08 22:23:00,,,,,B
2018-03-08 22:25:00,,,,,B
2018-03-08 22:28:00,,,,,B
2018-03-08 22:30:00,,,,,B
2018-03-08 22:32:00,,,,,B
2018-03-08 22:35:00,,,,,B
2018-03-08 22:37:00,,,,,B
2018-03-08 22:39:00,,,,,B
2018-03-08 22:42:00,,,,,B
2018-03-08 22:44:00,,,,,B
2018-03-08 22:47:00,,,,,B
2018-03-08 22:49:00,,,,,B
2018-03-08 22:51:00,,,,,B
2018-03-08 22:54:00,,,,,B
2018-03-08 22:56:00,,,,,B
2018-03-08 23:00:00,,,,,B
2018-03-08 23:02:00,,,,,B
2018-03-08 23:04:00,,,,,B
2018-03-08 23:07:00,,,,,B
2018-03-08 23:09:00,,,,,B
2018-03-08 23:11:00,,,,,B
2018-03-08 23:13:00,,,,,B
2018-03-08 23:16:00,,,,,B
2018-03-08 23:18:00,,,,,B
2018-03-08 23:21:00,,,,,B
2018-03-08 23:23:00,,,,,B
2018-03-08 23:25:00,,,,,B
2018-03-08 23:28:00,,,,,B
2018-03-08 23:30:00,,,,,B
2018-03-08 23:32:00,,,,,B
2018-03-08 23:35:00,,,,,B
2018-03-08 23:37:00,,,,,B
2018-03-08 23:39:00,,,,,B
2018-03-08 23:41:00,,,,,B
2018-03-08 23:44:00,,,,,B
2018-03-08 23:46:00,,,,,B
2018-03-08 23:48:00,,,,,B
2018-03-08 23:50:00,,,,,B
2018-03-08 23:52:00,,,,,B
2018-03-08 23:55:00,,,,,B
2018-03-08 23:57:00,,,,,B
2018-03-08 23:59:00,,,,,B
2018-03-09 00:02:00,,,,,B
2018-03-09 00:04:00,,,,,B
2018-03-09 00:07:00,,,,,B
2018-03-09 00:09:00,,,,,B
2018-03-09 00:11:00,,,,,B
2018-03-09 00:14:00,,,,,B
2018-03-09 00:16:00,,,,,B
2018-03-09 00:18:00,,,,,B
2018-03-09 00:20:00,,,,,B
2018-03-09 00:22:00,,,,,B
2018-03-09 00:25:00,,,,,B
2018-03-09 00:27:00,,,,,B
2018-03-09 00:30:00,,,,,B
2018-03-09 00:32:00,,,,,B
2018-03-09 00:34:00,,,,,B
2018-03-09 00:37:00,,,,,B
2018-03-09 00:39:00,,,,,B
2018-03-09 00:42:00,,,,,B
2018-03-09 00:44:00,,,,,B
2018-03-09 00:46:00,,,,,B
2018-03-09 00:48:00,,,,,B
2018-03-09 00:51:00,,,,,B
2018-03-09 00:53:00,,,,,B
2018-03-09 00:55:00,,,,,B
2018-03-09 00:58:00,,,,,B
2018-03-09 01:01:00,,,,,B
2018-03-09 01:03:00,,,,,B
2018-03-09 01:06:00,,,,,B
2018-03-09 01:08:00,,,,,B
2018-03-09 01:11:00,,,,,B
2018-03-09 01:13:00,,,,,B
2018-03-09 01:16:00,,,,,B
2018-03-09 01:18:00,,,,,B
2018-03-09 01:21:00,,,,,B
2018-03-09 01:24:00,,,,,B
2018-03-09 01:26:00,,,,,B
2018-03-09 01:29:00,,,,,B
2018-03-09 01:32:00,,,,,B
2018-03-09 01:34:00,,,,,B
2018-03-09 01:37:00,,,,,B
2018-03-09 01:40:00,,,,,B
2018-03-09 01:42:00,,,,,B
