,p,q,theta,Tice,Sensor_Name
2018-03-08 18:42:00,,,,,A
2018-03-08 18:44:00,,,,,A
2018-03-08 18:47:00,,,,,A
2018-03-08 18:49:00,,,,,A
2018-03-08 18:51:00,,,,,A
2018-03-08 18:54:00,,,,,A
2018-03-08 18:57:00,,,,,A
2018-03-08 18:59:00,,,,,A
2018-03-08 19:01:00,,,,,A
2018-03-08 19:04:00,,,,,A
2018-03-08 19:06:00,,,,,A
2018-03-08 19:09:00,,,,,A
2018-03-08 19:11:00,,,,,A
2018-03-08 19:13:00,,,,,A
2018-03-08 19:16:00,,,,,A
2018-03-08 19:18:00,,,,,A
2018-03-08 19:20:00,,,,,A
2018-03-08 19:23:00,,,,,A
2018-03-08 19:25:00,,,,,A
2018-03-08 19:27:00,,,,,A
2018-03-08 19:29:00,,,,,A
2018-03-08 19:32:00,,,,,A
2018-03-08 19:34:00,,,,,A
2018-03-08 19:36:00,,,,,A
2018-03-08 19:38:00,,,,,A
2018-03-08 19:40:00,,,,,A
2018-03-08 19:43:00,,,,,A
2018-03-08 19:45:00,,,,,A
2018-03-08 19:47:00,,,,,A
2018-03-08 19:49:00,,,,,A
2018-03-08 19:52:00,,,,,A
2018-03-08 19:54:00,,,,,A
2018-03-08 19:56:00,,,,,A
2018-03-08 19:58:00,,,,,A
2018-03-08 20:01:00,,,,,A
2018-03-08 20:04:00,,,,,A
2018-03-08 20:06:00,,,,,A
2018-03-08 20:08:00,,,,,A
2018-03-08 20:11:00,,,,,A
2018-03-08 20:13:00,,,,,A
2018-03-08 20:16:00,,,,,A
2018-03-08 20:18:00,,,,,A
2018-03-08 20:20:00,,,,,A
2018-03-08 20:23:00,,,,,A
2018-03-08 20:25:00,,,,,A
2018-03-08 20:28:00,,,,,A
2018-03-08 20:30:00,,,,,A
2018-03-08 20:32:00,,,,,A
2018-03-08 20:34:00,,,,,A
2018-03-08 20:37:00,,,,,A
2018-03-08 20:39:00,,,,,A
2018-03-08 20:41:00,,,,,A
2018-03-08 20:43:00,,,,,A
2018-03-08 20:46:00,,,,,A
2018-03-08 20:48:00,,,,,A
2018-03-08 20:50:00,,,,,A
2018-03-08 20:52:00,,,,,A
2018-03-08 20:55:00,,,,,A
2018-03-08 20:57:00,,,,,A
2018-03-08 20:59:00,,,,,A
2018-03-08 21:01:00,,,,,A
2018-03-08 21:04:00,,,,,A
2018-03-08 21:06:00,,,,,A
2018-03-08 21:08:00,,,,,A
2018-03-08 21:10:00,,,,,A
2018-03-08 21:13:00,,,,,A
2018-03-08 21:15:00,,,,,A
2018-03-08 21:17:00,,,,,A
2018-03-08 21:20:00,,,,,A
2018-03-08 21:22:00,,,,,A
2018-03-08 21:24:00,,,,,A
2018-03-08 21:27:00,,,,,A
2018-03-08 21:29:00,,,,,A
2018-03-08 21:31:00,,,,,A
2018-03-08 21:33:00,,,,,A
2018-03-08 21:36:00,,,,,A
2018-03-08 21:38:00,,,,,A
2018-03-08 21:40:00,,,,,A
2018-03-08 21:42:00,,,,,A
2018-03-08 21:44:00,,,,,A
2018-03-08 21:47:00,,,,,A
2018-03-08 21:49:00,,,,,A
2018-03-08 21:51:00,,,,,A
2018-03-08 21:53:00,,,,,A
2018-03-08 21:55:00,,,,,A
2018-03-08 21:58:00,,,,,A
2018-03-08 22:00:00,,,,,A
2018-03-08 22:02:00,,,,,A
2018-03-08 22:05:00,,,,,A
2018-03-08 22:07:00,,,,,A
2018-03-08 22:09:00,,,,,A
2018-03-08 22:12:00,,,,,A
2018-03-08 22:14:00,,,,,A
2018-03-08 22:16:00,,,,,A
2018-03-08 22:18:00,,,,,A
2018-03-08 22:21:00,,,,,A
2018-03-08 22:23:00,,,,,A
2018-03-08 22:25:00,,,,,A
2018-03-08 22:28:00,,,,,A
2018-03-08 22:30:00,,,,,A
2018-03-08 22:32:00,,,,,A
2018-03-08 22:35:00,,,,,A
2018-03-08 22:37:00,,,,,A
2018-03-08 22:39:00,,,,,A
2018-03-08 22:42:00,,,,,A
2018-03-08 22:44:00,,,,,A
2018-03-08 22:47:00,,,,,A
2018-03-08 22:49:00,,,,,A
2018-03-08 22:51:00,,,,,A
2018-03-08 22:54:00,,,,,A
2018-03-08 22:56:00,,,,,A
2018-03-08 23:00:00,,,,,A
2018-03-08 23:02:00,,,,,A
2018-03-08 23:04:00,,,,,A
2018-03-08 23:07:00,,,,,A
2018-03-08 23:09:00,,,,,A
2018-03-08 23:11:00,,,,,A
2018-03-08 23:13:00,,,,,A
2018-03-08 23:16:00,,,,,A
2018-03-08 23:18:00,,,,,A
2018-03-08 23:21:00,,,,,A
2018-03-08 23:23:00,,,,,A
2018-03-08 23:25:00,,,,,A
2018-03-08 23:28:00,,,,,A
2018-03-08 23:30:00,,,,,A
2018-03-08 23:32:00,,,,,A
2018-03-08 23:35:00,,,,,A
2018-03-08 23:37:00,,,,,A
2018-03-08 23:39:00,,,,,A
2018-03-08 23:41:00,,,,,A
2018-03-08 23:44:00,,,,,A
2018-03-08 23:46:00,,,,,A
2018-03-08 23:48:00,,,,,A
2018-03-08 23:50:00,,,,,A
2018-03-08 23:52:00,,,,,A
2018-03-08 23:55:00,,,,,A
2018-03-08 23:57:00,,,,,A
2018-03-08 23:59:00,,,,,A
2018-03-09 00:02:00,,,,,A
2018-03-09 00:04:00,,,,,A
2018-03-09 00:07:00,,,,,A
2018-03-09 00:09:00,,,,,A
2018-03-09 00:11:00,,,,,A
2018-03-09 00:14:00,,,,,A
2018-03-09 00:16:00,,,,,A
2018-03-09 00:18:00,,,,,A
2018-03-09 00:20:00,,,,,A
2018-03-09 00:22:00,,,,,A
2018-03-09 00:25:00,,,,,A
2018-03-09 00:27:00,,,,,A
2018-03-09 00:30:00,,,,,A
2018-03-09 00:32:00,,,,,A
2018-03-09 00:34:00,,,,,A
2018-03-09 00:37:00,,,,,A
2018-03-09 00:39:00,,,,,A
2018-03-09 00:42:00,,,,,A
2018-03-09 00:44:00,,,,,A
2018-03-09 00:46:00,,,,,A
2018-03-09 00:48:00,,,,,A
2018-03-09 00:51:00,,,,,A
2018-03-09 00:53:00,,,,,A
2018-03-09 00:55:00,,,,,A
2018-03-09 00:58:00,,,,,A
2018-03-09 01:01:00,,,,,A
2018-03-09 01:03:00,,,,,A
2018-03-09 01:06:00,,,,,A
2018-03-09 01:08:00,,,,,A
2018-03-09 01:11:00,,,,,A
2018-03-09 01:13:00,,,,,A
2018-03-09 01:16:00,,,,,A
2018-03-09 01:18:00,,,,,A
2018-03-09 01:21:00,,,,,A
2018-03-09 01:24:00,,,,,A
2018-03-09 01:26:00,,,,,A
2018-03-09 01:29:00,,,,,A
2018-03-09 01:32:00,,,,,A
2018-03-09 01:34:00,,,,,A
2018-03-09 01:37:00,,,,,A
2018-03-09 01:40:00,,,,,A
2018-03-09 01:42:00,,,,,A
2018-03-09 01:45:00,,,,,A
2018-03-09 01:48:00,,,,,A
2018-03-09 01:50:00,,,,,A
2018-03-09 01:52:00,,,,,A
2018-03-09 01:55:00,,,,,A
2018-03-09 01:57:00,,,,,A
2018-03-09 02:00:00,,,,,A
2018-03-09 02:03:00,,,,,A
2018-03-09 02:05:00,,,,,A
2018-03-09 02:08:00,,,,,A
2018-03-09 02:10:00,,,,,A
2018-03-09 02:12:00,,,,,A
2018-03-09 02:15:00,,,,,A
2018-03-09 02:18:00,,,,,A
2018-03-09 02:20:00,,,,,A
2018-03-09 02:23:00,,,,,A
2018-03-09 02:25:00,,,,,A
2018-03-09 02:28:00,,,,,A
2018-03-09 02:30:00,,,,,A
2018-03-09 02:33:00,,,,,A
2018-03-09 02:35:00,,,,,A
2018-03-09 02:38:00,,,,,A
2018-03-09 02:41:00,,,,,A
2018-03-09 02:44:00,,,,,A
2018-03-09 02:46:00,,,,,A
2018-03-09 02:49:00,,,,,A
2018-03-09 02:51:00,,,,,A
2018-03-09 02:54:00,,,,,A
2018-03-09 02:56:00,,,,,A
2018-03-09 02:59:00,,,,,A
2018-03-09 03:01:00,,,,,A
2018-03-09 03:04:00,,,,,A
2018-03-09 03:06:00,,,,,A
2018-03-09 03:08:00,,,,,A
2018-03-09 03:11:00,,,,,A
2018-03-09 03:13:00,,,,,A
2018-03-09 03:15:00,,,,,A
2018-03-09 03:18:00,,,,,A
2018-03-09 03:20:00,,,,,A
2018-03-09 03:22:00,,,,,A
2018-03-09 03:25:00,,,,,A
2018-03-09 03:27:00,,,,,A
2018-03-09 03:30:00,,,,,A
2018-03-09 03:32:00,,,,,A
2018-03-09 03:34:00,,,,,A
2018-03-09 03:37:00,,,,,A
2018-03-09 03:39:00,,,,,A
2018-03-09 03:41:00,,,,,A
2018-03-09 03:43:00,,,,,A
2018-03-09 03:46:00,,,,,A
2018-03-09 03:48:00,,,,,A
2018-03-09 03:50:00,,,,,A
2018-03-09 03:52:00,,,,,A
2018-03-09 03:55:00,,,,,A
2018-03-09 03:57:00,,,,,A
2018-03-09 03:59:00,,,,,A
2018-03-09 04:02:00,,,,,A
2018-03-09 04:04:00,,,,,A
2018-03-09 04:06:00,,,,,A
2018-03-09 04:08:00,,,,,A
2018-03-09 04:11:00,,,,,A
2018-03-09 04:13:00,,,,,A
2018-03-09 04:15:00,,,,,A
2018-03-09 04:17:00,,,,,A
2018-03-09 04:19:00,,,,,A
2018-03-09 04:22:00,,,,,A
2018-03-09 04:24:00,,,,,A
2018-03-09 04:26:00,,,,,A
2018-03-09 04:29:00,,,,,A
2018-03-09 04:31:00,,,,,A
2018-03-09 04:34:00,,,,,A
2018-03-09 04:36:00,,,,,A
2018-03-09 04:38:00,,,,,A
2018-03-09 04:41:00,,,,,A
2018-03-09 04:43:00,,,,,A
2018-03-09 04:45:00,,,,,A
2018-03-09 04:47:00,,,,,A
2018-03-09 04:50:00,,,,,A
2018-03-09 04:52:00,,,,,A
2018-03-09 04:54:00,,,,,A
2018-03-09 04:56:00,,,,,A
2018-03-09 04:59:00,,,,,A
2018-03-09 05:01:00,,,,,A
2018-03-09 05:03:00,,,,,A
2018-03-09 05:06:00,,,,,A
2018-03-09 05:08:00,,,,,A
2018-03-09 05:10:00,,,,,A
2018-03-09 05:12:00,,,,,A
2018-03-09 05:15:00,,,,,A
2018-03-09 05:17:00,,,,,A
2018-03-09 05:19:00,,,,,A
2018-03-09 05:21:00,,,,,A
2018-03-09 05:24:00,,,,,A
2018-03-09 05:26:00,,,,,A
2018-03-09 05:28:00,,,,,A
2018-03-09 05:30:00,,,,,A
2018-03-09 05:33:00,,,,,A
2018-03-09 05:35:00,,,,,A
2018-03-09 05:37:00,,,,,A
2018-03-09 05:39:00,,,,,A
2018-03-09 05:42:00,,,,,A
2018-03-09 05:44:00,,,,,A
2018-03-09 05:46:00,,,,,A
2018-03-09 05:48:00,,,,,A
2018-03-09 05:50:00,,,,,A
2018-03-09 05:53:00,,,,,A
