,p,q,theta,Tice,Sensor_Name
2018-03-20 09:23:00,-8.057375177303276,-12.023383987797024,1.1375819225284314,-11.31143,C
2018-03-20 09:24:00,-8.356393103006436,-12.118409040910397,1.1268957056569624,-11.31082,C
2018-03-20 09:25:00,-8.361638987448952,-12.13723976718983,1.1272378898889421,-11.31042,C
2018-03-20 09:26:00,-8.246204670076896,-12.052265108297513,1.1295075319813748,-11.30981,C
2018-03-20 09:27:00,-8.027977336979333,-11.922245993213332,1.131692465792538,-11.30945,C
2018-03-20 09:28:00,-8.260227710295103,-12.161756441986608,1.137519146502397,-11.30896,C
2018-03-20 09:29:00,-8.200842671377805,-12.095178234247038,1.138806892190705,-11.30847,C
2018-03-20 09:30:00,-8.170654917424587,-11.998856283584164,1.1402716620825473,-11.30814,C
2018-03-20 09:31:00,-8.33704891058631,-12.12934301581747,1.1394337680075068,-11.30759,C
2018-03-20 09:32:00,-8.422370545846382,-12.166070089613056,1.1383166337903603,-11.30692,C
2018-03-20 09:33:00,-7.939893547507764,-11.675243776597418,1.163565925879766,-11.30664,C
2018-03-20 09:34:00,-7.826409135012534,-11.81595846665807,1.1770505916870357,-11.30627,C
2018-03-20 09:35:00,-7.448969127573826,-11.216742532541256,1.1935255694884805,-11.30588,C
2018-03-20 09:36:00,-7.149334346888688,-11.194965221817364,1.1914913194813792,-11.30508,C
2018-03-20 09:37:00,-7.43948179061355,-11.554316683260927,1.1610475325187197,-11.30475,C
2018-03-20 09:38:00,-7.788734619848012,-11.978010806653124,1.1434798009146476,-11.30429,C
2018-03-20 09:39:00,-7.8277249973340925,-12.011956255638946,1.1486897024742682,-11.30374,C
2018-03-20 09:40:00,-8.009123087009492,-12.076552834340786,1.1451378626905413,-11.30322,C
2018-03-20 09:41:00,-8.030682129837194,-12.027869314902269,1.145154774478483,-11.3028,C
2018-03-20 09:42:00,-7.872269254268465,-11.936893931800101,1.143743771617184,-11.30222,C
2018-03-20 09:43:00,-7.584201244927179,-11.72713052490622,1.138588278407732,-11.30173,C
2018-03-20 09:44:00,-7.252323645391238,-11.537074974923524,1.1349544058611958,-11.30118,C
2018-03-20 09:45:00,-7.525497127868205,-11.758900171974538,1.1509187975107213,-11.30063,C
2018-03-20 09:46:00,-7.4406998635569614,-11.694748040117917,1.135574425028791,-11.30038,C
2018-03-20 09:47:00,-7.304310125656617,-11.58080083179536,1.1386756477128888,-11.2998,C
2018-03-20 09:48:00,-7.314214453011353,-11.59494334934265,1.1322291480900972,-11.29932,C
2018-03-20 09:49:00,-7.57006310471023,-11.809716719879198,1.1444380413408828,-11.29883,C
2018-03-20 09:50:00,-7.476681568490363,-11.6510194994116,1.156548972147652,-11.29831,C
2018-03-20 09:51:00,-7.4916587802489385,-11.659503040259759,1.157769128703042,-11.29782,C
2018-03-20 09:52:00,-7.248285044198805,-11.479366289024522,1.1482973449886122,-11.29718,C
2018-03-20 09:53:00,-7.177031531824672,-11.37390981789817,1.1688529962130385,-11.29691,C
2018-03-20 09:54:00,-7.318605252684189,-11.582146634700718,1.1357688373544317,-11.29626,C
2018-03-20 09:55:00,-7.3461638883901506,-11.552125318721536,1.1504603590751925,-11.29596,C
2018-03-20 09:56:00,-7.014233632460664,-11.234384692090721,1.16786875996812,-11.29541,C
2018-03-20 09:57:00,-6.935655497120274,-11.187490192121262,1.1695933671643566,-11.29489,C
2018-03-20 09:58:00,-6.835359735143497,-11.086219800581299,1.1903844137793964,-11.29449,C
2018-03-20 09:59:00,-6.662632670139974,-10.933446456448456,1.2060489154226364,-11.2941,C
2018-03-20 10:00:00,-6.656513241670187,-11.091142179458878,1.186771845989707,-11.29346,C
2018-03-20 10:01:00,-6.489618731257,-10.882226404263307,1.193999707091284,-11.29303,C
2018-03-20 10:02:00,-6.507551315246201,-10.93844627318126,1.1967232167123898,-11.29266,C
2018-03-20 10:03:00,-6.420186410910934,-11.180847054634745,1.1683734142620636,-11.29211,C
2018-03-20 10:04:00,-6.504416419841948,-11.500268586574709,1.1241111512970745,-11.29163,C
2018-03-20 10:05:00,-6.680746816626563,-11.595172058062957,1.1201326795351747,-11.29102,C
2018-03-20 10:06:00,-6.872275468298701,-11.725576395198562,1.1187805078896353,-11.29068,C
2018-03-20 10:07:00,-7.250614015870511,-11.966784351356205,1.1072600175401055,-11.29016,C
2018-03-20 10:08:00,-7.522052322939838,-12.115767673918956,1.095422932958794,-11.28961,C
